creation_date,id,link_id,mobile_browser_cookie_id,mobile_click_date,os,ip,,identity_id
2015-02-21T19:15:05.679Z,9.77603E+16,9.67445E+16,9.77603E+16,"""2015-02-21T19:15:05.687Z""",Android,172.56.27.120,,9.77603E+16
2015-02-21T19:15:04.959Z,9.77603E+16,9.67445E+16,9.77603E+16,"""2015-02-21T19:15:04.967Z""",Android,172.56.27.120,,9.77603E+16
2015-02-21T19:04:02.608Z,9.77575E+16,9.67445E+16,9.77575E+16,"""2015-02-21T19:04:02.618Z""",Android,66.249.88.229,,9.77575E+16
2015-02-21T18:56:23.282Z,9.77556E+16,9.67445E+16,9.77556E+16,"""2015-02-21T18:56:23.291Z""",Android,66.87.115.173,,9.77556E+16
2015-02-21T18:51:32.024Z,9.77544E+16,9.67445E+16,9.77544E+16,"""2015-02-21T18:51:32.034Z""",Android,172.56.23.148,,9.77544E+16
2015-02-21T18:48:36.235Z,9.77537E+16,9.67445E+16,9.77537E+16,"""2015-02-21T18:48:36.309Z""",Android,70.210.32.44,,9.77537E+16
2015-02-21T18:33:37.783Z,9.77499E+16,9.67445E+16,9.77499E+16,"""2015-02-21T18:33:37.797Z""",Android,63.141.204.194,,9.77499E+16
2015-02-21T18:32:41.473Z,9.77497E+16,9.67445E+16,9.77497E+16,"""2015-02-21T18:32:41.483Z""",Android,70.208.196.77,,9.77497E+16
2015-02-21T18:27:44.737Z,9.77484E+16,9.67445E+16,9.77484E+16,"""2015-02-21T18:27:44.750Z""",Android,70.208.130.6,,9.77484E+16
2015-02-21T18:20:51.394Z,9.77467E+16,9.67445E+16,9.77467E+16,"""2015-02-21T18:20:51.454Z""",Android,172.56.27.68,,9.77467E+16
2015-02-21T18:19:34.233Z,9.77464E+16,9.67445E+16,9.77464E+16,"""2015-02-21T18:19:34.253Z""",Android,71.163.25.129,,9.77464E+16
2015-02-21T18:18:34.642Z,9.77461E+16,8.41141E+16,9.77461E+16,"""2015-02-21T18:18:34.730Z""",Android,69.140.15.195,,9.77461E+16
2015-02-21T18:16:57.322Z,9.77457E+16,9.67445E+16,9.77457E+16,"""2015-02-21T18:16:57.497Z""",Android,98.65.224.89,,9.77457E+16
2015-02-21T18:16:24.798Z,9.77456E+16,9.67445E+16,9.77456E+16,"""2015-02-21T18:16:24.864Z""",Android,74.101.47.143,,9.77456E+16
2015-02-21T18:15:26.701Z,9.77453E+16,9.67445E+16,9.77453E+16,"""2015-02-21T18:15:38.737Z""",Android,73.213.250.59,,9.77453E+16
2015-02-21T18:15:25.616Z,9.77453E+16,9.67445E+16,9.77453E+16,"""2015-02-21T18:15:25.705Z""",Android,73.213.250.59,,9.77453E+16
2015-02-21T18:14:18.360Z,9.7745E+16,8.41141E+16,9.7745E+16,"""2015-02-21T18:14:18.410Z""",Android,66.87.81.124,,9.7745E+16
2015-02-21T18:12:39.060Z,9.77446E+16,9.67445E+16,9.77446E+16,"""2015-02-21T18:12:39.368Z""",Android,172.56.6.107,,9.77446E+16
2015-02-21T18:06:00.531Z,9.77429E+16,9.67445E+16,9.77429E+16,"""2015-02-21T18:06:00.540Z""",Android,172.56.3.222,,9.77429E+16
2015-02-21T18:05:57.263Z,9.77429E+16,9.67445E+16,9.77429E+16,"""2015-02-21T18:05:57.272Z""",Android,172.56.11.10,,9.77429E+16
2015-02-21T18:01:27.582Z,9.77418E+16,9.67445E+16,9.77418E+16,"""2015-02-21T18:01:27.660Z""",Android,172.56.6.191,,9.77418E+16
2015-02-21T17:57:25.650Z,9.77408E+16,8.41141E+16,9.77408E+16,"""2015-02-21T17:57:25.665Z""",Android,70.193.57.196,,9.77408E+16
2015-02-21T17:52:12.051Z,9.77395E+16,9.67445E+16,9.77395E+16,"""2015-02-21T17:52:12.059Z""",Android,69.22.169.169,,9.77395E+16
2015-02-21T17:51:37.641Z,9.77393E+16,9.67445E+16,9.77393E+16,"""2015-02-21T17:51:37.683Z""",Android,172.56.22.85,,9.77393E+16
2015-02-21T17:46:49.090Z,9.77381E+16,9.67445E+16,9.77381E+16,"""2015-02-21T17:46:49.099Z""",Android,172.56.6.219,,9.77381E+16
2015-02-21T17:45:29.500Z,9.77378E+16,8.41141E+16,9.77378E+16,"""2015-02-21T17:45:29.514Z""",Android,71.191.130.183,,9.77378E+16
2015-02-21T17:44:15.706Z,9.77375E+16,8.41141E+16,9.56546E+16,"""2015-02-21T17:44:15.712Z""",Android,76.227.230.204,,9.77375E+16
2015-02-21T17:34:03.434Z,9.77349E+16,9.67445E+16,9.77349E+16,"""2015-02-21T17:34:03.442Z""",Android,162.226.101.193,,9.77349E+16
2015-02-21T17:32:09.054Z,9.77344E+16,8.41141E+16,9.77344E+16,"""2015-02-21T17:32:09.063Z""",Android,70.192.197.244,,9.77344E+16
2015-02-21T17:30:15.345Z,9.77339E+16,9.67445E+16,9.77339E+16,"""2015-02-21T17:42:27.619Z""",Android,96.231.193.6,,9.77339E+16
2015-02-21T17:22:14.134Z,9.77319E+16,9.67445E+16,9.77319E+16,"""2015-02-21T17:22:14.143Z""",Android,172.56.11.72,,9.77319E+16
2015-02-21T17:18:25.520Z,9.7731E+16,9.67445E+16,9.7731E+16,"""2015-02-21T17:18:25.532Z""",Android,23.124.96.77,,9.7731E+16
2015-02-21T17:14:48.870Z,9.77301E+16,9.67445E+16,9.77301E+16,"""2015-02-21T17:14:48.876Z""",Android,172.56.2.146,,9.77301E+16
2015-02-21T17:11:11.088Z,9.77291E+16,9.67445E+16,9.77291E+16,"""2015-02-21T17:11:11.097Z""",Android,76.114.161.131,,9.77291E+16
2015-02-21T17:05:50.682Z,9.77278E+16,9.67445E+16,9.77278E+16,"""2015-02-21T17:05:50.690Z""",Android,166.170.40.111,,9.77278E+16
2015-02-21T17:05:22.254Z,9.77277E+16,9.67445E+16,9.77277E+16,"""2015-02-21T17:05:22.259Z""",Android,50.182.158.13,,9.77277E+16
2015-02-21T17:04:54.690Z,9.77276E+16,9.67445E+16,9.77276E+16,"""2015-02-21T17:04:54.700Z""",Android,166.171.58.26,,9.77276E+16
2015-02-21T17:02:57.490Z,9.77271E+16,9.67445E+16,9.77271E+16,"""2015-02-21T17:03:03.884Z""",Android,68.100.106.15,,9.77271E+16
2015-02-21T17:00:42.851Z,9.77265E+16,9.67445E+16,9.77265E+16,"""2015-02-21T17:00:49.541Z""",Android,69.22.169.22,,9.77265E+16
2015-02-21T16:58:19.003Z,9.77259E+16,9.67445E+16,9.77259E+16,"""2015-02-21T16:58:19.011Z""",Android,50.190.11.181,,9.77259E+16
2015-02-21T16:58:01.195Z,9.77258E+16,9.67445E+16,9.77258E+16,"""2015-02-21T16:58:01.202Z""",Android,70.210.4.76,,9.77258E+16
2015-02-21T16:53:30.520Z,9.77247E+16,9.67445E+16,9.77247E+16,"""2015-02-21T16:53:30.526Z""",Android,172.56.6.62,,9.77247E+16
2015-02-21T16:50:24.184Z,9.77239E+16,9.67445E+16,9.77239E+16,"""2015-02-21T16:50:27.575Z""",Android,50.176.59.10,,9.77239E+16
