creation_date,id,referring_link_click_id,os,initial_ip_address,,,referrring_link_id,referring_link_id,referring_identity_id,link_channel,link_feature,link_stage,link_creation_source,balance,links_created
2015-01-23T17:36:50.010Z,87200000000000000,87200000000000000,Android,73.201.199.68,,,86500000000000000,86500000000000000,null,AB Email,marketing,null,1,null,0
2015-02-20T12:17:56.736Z,97300000000000000,97300000000000000,Android,208.54.86.255,,,84100000000000000,84100000000000000,null,BL Info page,marketing,null,1,null,0
2015-02-11T12:32:23.581Z,94000000000000000,94000000000000000,Android,24.127.1.247,,,84100000000000000,84100000000000000,null,BL Info page,marketing,null,1,null,0
2015-02-07T19:12:05.907Z,92700000000000000,92700000000000000,Android,70.208.150.31,,,84100000000000000,84100000000000000,null,BL Info page,marketing,null,1,null,0
2015-02-02T02:13:20.826Z,90600000000000000,90600000000000000,Android,108.18.111.241,,,84100000000000000,84100000000000000,null,BL Info page,marketing,null,1,null,0
2015-01-31T00:11:43.566Z,89900000000000000,89900000000000000,Android,173.73.38.221,,,84100000000000000,84100000000000000,null,BL Info page,marketing,null,1,null,0
2015-01-24T22:03:19.158Z,87700000000000000,87700000000000000,Android,70.192.193.248,,,84100000000000000,84100000000000000,null,BL Info page,marketing,null,1,null,0
2015-01-23T12:53:56.452Z,87200000000000000,87200000000000000,Android,66.87.96.50,,,84100000000000000,84100000000000000,null,BL Info page,marketing,null,1,null,0
2015-02-20T20:46:20.257Z,97400000000000000,97400000000000000,Android,98.175.165.14,,,84100000000000000,84100000000000000,null,Facebook,marketing,null,1,null,0
2015-02-20T19:28:29.847Z,97400000000000000,97400000000000000,Android,69.140.34.138,,,84100000000000000,84100000000000000,null,Facebook,marketing,null,1,null,0
2015-02-20T04:04:30.409Z,97200000000000000,97200000000000000,Android,166.171.56.164,,,84100000000000000,84100000000000000,null,Facebook,marketing,null,1,null,0
2015-02-20T02:10:57.842Z,97100000000000000,97100000000000000,Android,73.128.12.213,,,84100000000000000,84100000000000000,null,Facebook,marketing,null,1,null,0
2015-02-20T00:23:48.356Z,97100000000000000,97100000000000000,Android,50.181.24.104,,,84100000000000000,84100000000000000,null,Facebook,marketing,null,1,null,0
2015-02-20T00:05:00.788Z,97100000000000000,97100000000000000,Android,71.166.35.237,,,84100000000000000,84100000000000000,null,Facebook,marketing,null,1,null,0
2015-02-19T23:44:36.756Z,97100000000000000,97100000000000000,Android,70.192.198.35,,,84100000000000000,84100000000000000,null,Facebook,marketing,null,1,null,0
2015-02-19T22:44:42.853Z,97100000000000000,97100000000000000,Android,173.79.162.175,,,84100000000000000,84100000000000000,null,Facebook,marketing,null,1,null,0
2015-02-18T20:36:39.013Z,96700000000000000,96700000000000000,Android,70.208.163.37,,,84100000000000000,84100000000000000,null,Facebook,marketing,null,1,null,0
2015-02-18T14:44:15.178Z,96600000000000000,96600000000000000,Android,100.36.100.107,,,84100000000000000,84100000000000000,null,Facebook,marketing,null,1,null,0
2015-02-16T17:46:46.656Z,95900000000000000,95900000000000000,Android,208.54.35.237,,,84100000000000000,84100000000000000,null,Facebook,marketing,null,1,null,0
2015-02-15T22:03:10.028Z,95600000000000000,95600000000000000,Android,98.204.13.46,,,84100000000000000,84100000000000000,null,Facebook,marketing,null,1,null,0
2015-02-15T19:40:37.759Z,95600000000000000,95600000000000000,Android,73.132.30.65,,,84100000000000000,84100000000000000,null,Facebook,marketing,null,1,null,0
2015-02-15T16:47:43.257Z,95500000000000000,95500000000000000,Android,70.192.203.221,,,84100000000000000,84100000000000000,null,Facebook,marketing,null,1,null,0
2015-02-15T16:20:47.163Z,95500000000000000,95500000000000000,Android,166.170.52.25,,,84100000000000000,84100000000000000,null,Facebook,marketing,null,1,null,0
2015-02-15T02:39:13.978Z,95300000000000000,95300000000000000,Android,166.170.29.158,,,84100000000000000,84100000000000000,null,Facebook,marketing,null,1,null,0
2015-02-15T02:14:59.938Z,95300000000000000,95300000000000000,Android,73.163.178.81,,,84100000000000000,84100000000000000,null,Facebook,marketing,null,1,null,0
2015-02-14T20:03:42.092Z,95200000000000000,95200000000000000,Android,76.100.164.131,,,84100000000000000,84100000000000000,null,Facebook,marketing,null,1,null,0
2015-02-14T16:55:42.129Z,95200000000000000,95200000000000000,Android,100.36.70.239,,,84100000000000000,84100000000000000,null,Facebook,marketing,null,1,null,0
2015-02-14T16:39:49.478Z,95200000000000000,95200000000000000,Android,73.172.225.28,,,84100000000000000,84100000000000000,null,Facebook,marketing,null,1,null,0
2015-02-14T05:03:57.495Z,95000000000000000,95000000000000000,Android,108.45.58.146,,,84100000000000000,84100000000000000,null,Facebook,marketing,null,1,null,0
2015-02-14T03:11:19.745Z,95000000000000000,95000000000000000,Android,71.4.209.201,,,84100000000000000,84100000000000000,null,Facebook,marketing,null,1,null,0
2015-02-13T22:43:06.661Z,94900000000000000,94900000000000000,Android,72.192.211.248,,,84100000000000000,84100000000000000,null,Facebook,marketing,null,1,null,0
2015-02-13T22:16:16.495Z,94900000000000000,94900000000000000,Android,173.79.38.175,,,84100000000000000,84100000000000000,null,Facebook,marketing,null,1,null,0
2015-02-12T13:19:25.328Z,94400000000000000,94400000000000000,Android,172.56.3.4,,,84100000000000000,84100000000000000,null,Facebook,marketing,null,1,null,0
2015-02-11T05:02:28.135Z,93900000000000000,93900000000000000,Android,50.153.115.159,,,84100000000000000,84100000000000000,null,Facebook,marketing,null,1,null,0
2015-02-11T02:02:16.338Z,93900000000000000,93900000000000000,Android,72.192.233.168,,,84100000000000000,84100000000000000,null,Facebook,marketing,null,1,null,0
2015-02-11T00:39:54.707Z,93900000000000000,93900000000000000,Android,73.213.190.229,,,84100000000000000,84100000000000000,null,Facebook,marketing,null,1,null,0
2015-02-10T21:48:54.483Z,93800000000000000,93800000000000000,Android,108.31.88.121,,,84100000000000000,84100000000000000,null,Facebook,marketing,null,1,null,0
2015-02-09T22:56:24.943Z,93500000000000000,93500000000000000,Android,108.18.151.109,,,84100000000000000,84100000000000000,null,Facebook,marketing,null,1,null,0
2015-02-09T13:34:39.306Z,93300000000000000,93300000000000000,Android,172.56.2.243,,,84100000000000000,84100000000000000,null,Facebook,marketing,null,1,null,0
2015-02-08T16:40:18.533Z,93000000000000000,93000000000000000,Android,72.66.84.193,,,84100000000000000,84100000000000000,null,Facebook,marketing,null,1,null,0
2015-02-08T00:44:04.973Z,92800000000000000,92800000000000000,Android,173.66.110.41,,,84100000000000000,84100000000000000,null,Facebook,marketing,null,1,null,0
2015-02-07T16:20:11.680Z,92600000000000000,92600000000000000,Android,69.251.54.10,,,84100000000000000,84100000000000000,null,Facebook,marketing,null,1,null,0
2015-02-04T02:30:06.373Z,91300000000000000,95200000000000000,Android,100.36.161.158,,,84100000000000000,84100000000000000,null,Facebook,marketing,null,1,null,0
2015-02-02T22:31:44.855Z,90900000000000000,90900000000000000,Android,63.152.115.192,,,84100000000000000,84100000000000000,null,Facebook,marketing,null,1,null,0
2015-02-02T22:30:15.788Z,90900000000000000,90900000000000000,Android,74.194.174.134,,,84100000000000000,84100000000000000,null,Facebook,marketing,null,1,null,0
2015-02-02T22:28:19.704Z,90900000000000000,90900000000000000,Android,67.238.169.1,,,84100000000000000,84100000000000000,null,Facebook,marketing,null,1,null,0
2015-02-02T22:26:55.360Z,90900000000000000,90900000000000000,Android,23.127.214.203,,,84100000000000000,84100000000000000,null,Facebook,marketing,null,1,null,0
2015-02-01T18:01:27.772Z,90500000000000000,90500000000000000,Android,108.31.176.140,,,84100000000000000,84100000000000000,null,Facebook,marketing,null,1,null,0
2015-02-01T06:58:58.080Z,90300000000000000,90300000000000000,Android,68.98.170.170,,,84100000000000000,84100000000000000,null,Facebook,marketing,null,1,null,0
2015-01-31T23:25:56.091Z,90200000000000000,90200000000000000,Android,172.56.2.117,,,84100000000000000,84100000000000000,null,Facebook,marketing,null,1,null,0
2015-01-31T18:43:33.202Z,90100000000000000,90100000000000000,Android,70.192.204.162,,,84100000000000000,84100000000000000,null,Facebook,marketing,null,1,null,0
2015-01-31T15:00:59.963Z,90100000000000000,90100000000000000,Android,66.87.80.128,,,84100000000000000,84100000000000000,null,Facebook,marketing,null,1,null,0
