creation_date,id,link_type,tags,channel,feature,creation_source,clicks,installs
2014-12-22T22:00:42.799Z,75700000000000000,original,"[""version1"",""trial6""]",twitter,share,SDK,0,0
2014-12-22T16:13:04.602Z,75600000000000000,original,"[""version1"",""trial6""]",twitter,share,SDK,18,0
2014-12-22T16:12:37.659Z,75600000000000000,original,"[""version1"",""trial6""]",twitter,share,SDK,0,0
2014-12-22T16:12:37.447Z,75600000000000000,original,"[""version1"",""trial6""]",twitter,share,SDK,0,0
2014-12-22T16:12:37.236Z,75600000000000000,original,"[""version1"",""trial6""]",twitter,share,SDK,0,0
2014-12-22T16:12:37.024Z,75600000000000000,original,"[""version1"",""trial6""]",twitter,share,SDK,0,0
2014-12-22T16:12:36.815Z,75600000000000000,original,"[""version1"",""trial6""]",twitter,share,SDK,0,0
2014-12-22T16:12:36.607Z,75600000000000000,original,"[""version1"",""trial6""]",twitter,share,SDK,0,0
2014-12-20T01:10:50.153Z,74700000000000000,original,"[""version1"",""trial6""]",twitter,share,SDK,0,0
2014-12-19T18:41:21.644Z,74600000000000000,original,"[""version1"",""trial6""]",twitter,share,SDK,0,0
2014-12-18T21:03:16.417Z,74200000000000000,original,"[""version1"",""trial6""]",twitter,share,SDK,1,0
2015-01-15T03:05:20.429Z,84100000000000000,marketing_link,null,Wall Street Journal,marketing,Dashboard,9,0
2015-01-15T03:04:46.648Z,84100000000000000,marketing_link,null,Wall Street Journal,marketing,Dashboard,15,0
2015-01-15T01:16:23.503Z,84100000000000000,marketing_link,null,Wall Street Journal,marketing,Dashboard,17,0
2015-01-15T01:54:29.037Z,84100000000000000,marketing_link,null,YouTube,marketing,Dashboard,5,0
2015-01-21T00:52:28.183Z,86200000000000000,marketing_link,null,YouTube Android,marketing,Dashboard,28,0
2015-01-21T00:53:19.248Z,86200000000000000,marketing_link,[],YouTube iOS,marketing,Dashboard,35,0
